2018-08-17 13:42:46.481 INFO  ======响应报文[耗时：17毫秒]======
2018-08-17 13:43:30.438 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:43:30.463 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
2018-08-17 13:43:30.463 INFO  ======响应报文[耗时：17毫秒]======
2018-08-17 13:44:26.122 INFO  ======交易[MallExchange-MallExchangeList]：开始执行======
2018-08-17 13:44:26.132 INFO  ======交易[MallExchange-MallExchangeList]：执行结束======
2018-08-17 13:44:26.132 INFO  ======响应报文[耗时：10毫秒]======
2018-08-17 13:45:21.606 INFO  ======交易[MallPoints-UserPoints]：开始执行======
2018-08-17 13:45:21.621 INFO  ======交易[MallPoints-UserPoints]：执行结束======
2018-08-17 13:45:21.621 INFO  ======响应报文[耗时：15毫秒]======
2018-08-17 13:45:21.621 INFO  ======交易[MallPoints-PointsRecord]：开始执行======
2018-08-17 13:45:21.647 INFO  ======交易[MallPoints-PointsRecord]：执行结束======
2018-08-17 13:45:21.647 INFO  ======响应报文[耗时：26毫秒]======
2018-08-17 13:45:23.205 INFO  ======交易[MallIndex-UserIndex]：开始执行======
2018-08-17 13:45:23.226 INFO  ======交易[MallIndex-UserIndex]：执行结束======
2018-08-17 13:45:23.226 INFO  ======响应报文[耗时：21毫秒]======
2018-08-17 13:45:23.229 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 13:45:23.286 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 13:45:23.286 INFO  ======响应报文[耗时：57毫秒]======
2018-08-17 13:59:52.795 INFO  FrameworkServlet 'remote': initialization started
2018-08-17 13:59:52.811 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 13:59:52 CST 2018]; root of context hierarchy
2018-08-17 13:59:52.842 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-08-17 13:59:52.936 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-08-17 13:59:53.342 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-redis-beans.xml]
2018-08-17 13:59:53.357 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-srv-site.xml]
2018-08-17 13:59:55.772 INFO  Initializing ExecutorService  'mallTaskExecutor'
2018-08-17 13:59:56.240 INFO  HV000001: Hibernate Validator 5.1.3.Final
2018-08-17 13:59:56.785 INFO  Looking for @ControllerAdvice: WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 13:59:52 CST 2018]; root of context hierarchy
2018-08-17 13:59:56.864 INFO  Looking for @ControllerAdvice: WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 13:59:52 CST 2018]; root of context hierarchy
2018-08-17 13:59:57.020 INFO  Mapped URL path [/siteMallService] onto handler '/siteMallService'
2018-08-17 13:59:57.388 INFO  FrameworkServlet 'remote': initialization completed in 4593 ms
2018-08-17 14:00:07.634 INFO  FrameworkServlet 'remote': initialization started
2018-08-17 14:00:07.650 INFO  Refreshing WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 14:00:07 CST 2018]; root of context hierarchy
2018-08-17 14:00:07.681 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/rm-resolver.xml]
2018-08-17 14:00:07.775 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-08-17 14:00:08.181 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-redis-beans.xml]
2018-08-17 14:00:08.197 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-srv-site.xml]
2018-08-17 14:00:10.574 INFO  Initializing ExecutorService  'mallTaskExecutor'
2018-08-17 14:00:10.980 INFO  HV000001: Hibernate Validator 5.1.3.Final
2018-08-17 14:00:11.362 INFO  Looking for @ControllerAdvice: WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 14:00:07 CST 2018]; root of context hierarchy
2018-08-17 14:00:11.424 INFO  Looking for @ControllerAdvice: WebApplicationContext for namespace 'rm-resolver': startup date [Fri Aug 17 14:00:07 CST 2018]; root of context hierarchy
2018-08-17 14:00:11.581 INFO  Mapped URL path [/siteMallService] onto handler '/siteMallService'
2018-08-17 14:00:11.866 INFO  FrameworkServlet 'remote': initialization completed in 4231 ms
2018-08-17 14:00:44.675 INFO  ======交易[MallIndex-UserIndex]：开始执行======
2018-08-17 14:00:45.580 INFO  ======交易[MallIndex-UserIndex]：执行结束======
2018-08-17 14:00:45.580 INFO  ======响应报文[耗时：895毫秒]======
2018-08-17 14:00:45.627 INFO  ======交易[MallCommodity-IndexList]：开始执行======
2018-08-17 14:00:45.739 INFO  ======交易[MallCommodity-IndexList]：执行结束======
2018-08-17 14:00:45.739 INFO  ======响应报文[耗时：112毫秒]======
2018-08-17 14:00:52.483 INFO  ======交易[MallPoints-UserPoints]：开始执行======
2018-08-17 14:00:52.505 INFO  ======交易[MallPoints-UserPoints]：执行结束======
